PK_ID_ALUNO,FK_ID_TURMA,NOME_ALUNO,SOBRENOME_ALUNO,CPF,DATA_NASCIMENTO,GÊNERO,ENDEREÇO,CIDADE,ESTADO,NÚMERO,LOGIN_PORTAL,EMAIL,FK_ID_MEIO_DE_PAGAMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,STEPHANIE,FERNANDES,76858498312,'23/06/1998',F,RUA 23 ED. ARAUCARIAS BL. C APTO 202,BRASILIA,DF,(21) 9 9151-5781,STEPHANIE.FERNANDES,STEPHANIE.FERNANDES@GMAIL.COM,1,,(,1,",",20,",",'STEPHANIE',",",'FERNANDES',",",'76858498312',",",'23/06/1998',",",'F',,'RUA 23 ED. ARAUCARIAS BL. C APTO 202',",",'BRASILIA',",",'DF',",",'(21) 9 9151-5781',",",'STEPHANIE.FERNANDES',",",'STEPHANIE.FERNANDES@GMAIL.COM',",",1,),","
2,20,MATHEUS,BARBOSA,85963214856,'24/06/1998',M,AV. PAU-BRASIL ED. PAU-BRASIL BL. A APTO 1808,RIO DE JANEIRO,RJ,(21) 9 7564-3856,MATHEUS.BARBOSA,MATHEUS.BARBOSA@GMAIL.COM,3,,(,2,",",20,",",'MATHEUS',",",'BARBOSA',",",'85963214856',",",'24/06/1998',",",'M',",",'AV. PAU-BRASIL ED. PAU-BRASIL BL. A APTO 1808',",",'RIO DE JANEIRO',",",'RJ',",",'(21) 9 7564-3856',",",'MATHEUS.BARBOSA',",",'MATHEUS.BARBOSA@GMAIL.COM',",",3,),","
3,20,PATRICK,ELEOTERIO,78945612332,'25/06/1998',M,AVENIDA BRASIL RUA BRASIL LOTE 3 CASA 3,SÃO PAULO,SP,(12) 9 6119-5882,PATRICK.ELEOTERIO,PATRICK.ELEOTERIO@GMAIL.COM,1,,(,3,",",20,",",'PATRICK',",",'ELEOTERIO',",",'78945612332',",",'25/06/1998',",",'M',",",'AVENIDA BRASIL RUA BRASIL LOTE 3 CASA 3',",",'SÃO PAULO',",",'SP',",",'(12) 9 6119-5882',",",'PATRICK.ELEOTERIO',",",'PATRICK.ELEOTERIO@GMAIL.COM',",",1,),","
4,20,ELIZANGELA,CAMARGO,96385274132,'26/06/1998',F,RUA PARACATU EDIFICIO PARQUE IMPERIAL BL. A APTO 101,FORTALEZA,CE,(21) 9 6711-8282,ELIZANGELA.CAMARGO,ELIZANGELA.CAMARGO@GMAIL.COM,1,,(,4,",",20,",",'ELIZANGELA',",",'CAMARGO',",",'96385274132',",",'26/06/1998',",",'F',",",'RUA PARACATU EDIFICIO PARQUE IMPERIAL BL. A APTO 101',",",'FORTALEZA',",",'CE',",",'(21) 9 6711-8282',",",'ELIZANGELA.CAMARGO',",",'ELIZANGELA.CAMARGO@GMAIL.COM',",",1,),","
5,20,CAROL,CANDEIAS,15415963257,'27/06/1998',F,SQN 210 BL.F APTO 605,PORTO ALEGRE,RS,(17) 9 8357-7489,CAROL.CANDEIAS,CAROL.CANDEIAS@GMAIL.COM,1,,(,5,",",20,",",'CAROL',",",'CANDEIAS',",",'15415963257',",",'27/06/1998',",",'F',",",'SQN 210 BL.F APTO 605',",",'PORTO ALEGRE',",",'RS',",",'(17) 9 8357-7489',",",'CAROL.CANDEIAS',",",'CAROL.CANDEIAS@GMAIL.COM',",",1,),","
6,1,ANA,SILVA,25415963257,'28/06/1998',T,SQN 306 BL.C APTO 606,CURITIBA,PR,(21) 9 9171-3557,ANA.SILVA,ANA.SILVA@GMAIL.COM,3,,(,6,",",1,",",'ANA',",",'SILVA',",",'25415963257',",",'28/06/1998',",",'T',",",'SQN 306 BL.C APTO 606',",",'CURITIBA',",",'PR',",",'(21) 9 9171-3557',",",'ANA.SILVA',",",'ANA.SILVA@GMAIL.COM',",",3,),","
7,9,CARLA,FERNANDES,35415963257,'29/06/1998',NB,SQN 115 BL.A APTO 302,CAMPINAS,SP,(49) 9 6015-1884,CARLA.FERNANDES,CARLA.FERNANDES@GMAIL.COM,1,,(,7,",",9,",",'CARLA',",",'FERNANDES',",",'35415963257',",",'29/06/1998',",",'NB',",",'SQN 115 BL.A APTO 302',",",'CAMPINAS',",",'SP',",",'(49) 9 6015-1884',",",'CARLA.FERNANDES',",",'CARLA.FERNANDES@GMAIL.COM',",",1,),","
8,11,FERNANDO,OLIVEIRA,85415963256,'30/06/1998',M,SQN 109 BL.C APTO 303,NATAL,RN,(24) 9 6643-2866,FERNANDO.OLIVEIRA,FERNANDO.OLIVEIRA@GMAIL.COM,3,,(,8,",",11,",",'FERNANDO',",",'OLIVEIRA',",",'85415963256',",",'30/06/1998',",",'M',",",'SQN 109 BL.C APTO 303',",",'NATAL',",",'RN',",",'(24) 9 6643-2866',",",'FERNANDO.OLIVEIRA',",",'FERNANDO.OLIVEIRA@GMAIL.COM',",",3,),","
9,12,NICOLAS,DA SILVA,8541563257,'01/07/1998',M,AV. CARLOS MAIA ED. MARESIA BL. A APTO 501,RIO BRANCO,AC,(69) 9 8979-6473,NICOLAS.DA.SILVA,NICOLAS.DA.SILVA@GMAIL.COM,3,,(,9,",",12,",",'NICOLAS',",",'DA SILVA',",",'8541563257',",",'01/07/1998',",",'M',",",'AV. CARLOS MAIA ED. MARESIA BL. A APTO 501',",",'RIO BRANCO',",",'AC',",",'(69) 9 8979-6473',",",'NICOLAS.DA.SILVA',",",'NICOLAS.DA.SILVA@GMAIL.COM',",",3,),","
10,14,NICOLE,MONROE,85315963257,'02/07/1998',F,"RUA ÂNGELO ROMANO, 186",MANAUS,AM,(95) 9 8549-5620,NICOLE.MONROE,NICOLE.MONROE@GMAIL.COM,1,,(,10,",",14,",",'NICOLE',",",'MONROE',",",'85315963257',",",'02/07/1998',",",'F',",","'RUA ÂNGELO ROMANO, 186'",",",'MANAUS',",",'AM',",",'(95) 9 8549-5620',",",'NICOLE.MONROE',",",'NICOLE.MONROE@GMAIL.COM',",",1,),","
