PK_ID_FUNCIONARIOS,FK_ID_DEPARTAMENTO,NOME_FUNCIONARIO,SOBRENOME_FUNCIONARIO,CPF,DATA_NASCIMENTO,GÊNERO,NÚMERO,LOGIN_PORTAL,NUMERO_CONTA,AGENCIA,BANCO,SALARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,YASMIN,GUANAES,58965471263,'02/02/1990',F,(71) 9 8241-5746,YASMIN.GUANAES@resilia.edu.com.br,981754,9128,SANTANDER,"R$ 3.950,00",(,1,",",1,",",'YASMIN',",",'GUANAES',",",'58965471263',",",,",",'F',",",'(71) 9 8241-5746',",",'YASMIN.GUANAES@resilia.edu.com.br',",",'981754',",",'9128',",",'SANTANDER',",","'R$ 3.950,00'",),","
2,2,ESLI,QUEIROZ,78945612345,23/06/1988,m,(61) 9 9874-5414,ESLI.QUEIROZ@resilia.edu.com.br,981764,9228,BANCO DO BRASIL,"R$ 3.950,00",(,2,",",2,",",'ESLI',",",'QUEIROZ',",",'78945612345',",",23/06/1988,",",'m',",",'(61) 9 9874-5414',",",'ESLI.QUEIROZ@resilia.edu.com.br',",",'981764',",",'9228',",",'BANCO DO BRASIL',",","'R$ 3.950,00'",),","
3,2,THOM,RODRIGUES,98765432158,01/12/1880,f,(21) 9 8521-7469,THOM.RODRIGUES@resilia.edu.com.br,981774,9328,NUBANK,"R$ 3.200,00",(,3,",",2,",",'THOM',",",'RODRIGUES',",",'98765432158',",",01/12/1880,",",'f',",",'(21) 9 8521-7469',",",'THOM.RODRIGUES@resilia.edu.com.br',",",'981774',",",'9328',",",'NUBANK',",","'R$ 3.200,00'",),","
4,2,GABRIELA,CÂNDIDO,11885251971,03/11/1989,m,(21) 9 8325-4156,GABRIELA.CÂNDIDO@resilia.edu.com.br,981784,9428,SANTANDER,"R$ 3.200,00",(,4,",",2,",",'GABRIELA',",",'CÂNDIDO',",",'11885251971',",",03/11/1989,",",'m',",",'(21) 9 8325-4156',",",'GABRIELA.CÂNDIDO@resilia.edu.com.br',",",'981784',",",'9428',",",'SANTANDER',",","'R$ 3.200,00'",),","
5,2,TAMIRES,FERREIRA,13840507174,05/05/1983,f,(95) 9 9916-2574,TAMIRES.FERREIRA@resilia.edu.com.br,981794,9528,BANCO DE BRASIL,"R$ 3.200,00",(,5,",",2,",",'TAMIRES',",",'FERREIRA',",",'13840507174',",",05/05/1983,",",'f',",",'(95) 9 9916-2574',",",'TAMIRES.FERREIRA@resilia.edu.com.br',",",'981794',",",'9528',",",'BANCO DE BRASIL',",","'R$ 3.200,00'",),","
6,2,THEREZA,MELO,58224891597,18/05/1991,m,(83) 9 8741-5899,THEREZA.MELO@resilia.edu.com.br,981804,9628,SANTANDER,"R$ 3.200,00",(,6,",",2,",",'THEREZA',",",'MELO',",",'58224891597',",",18/05/1991,",",'m',",",'(83) 9 8741-5899',",",'THEREZA.MELO@resilia.edu.com.br',",",'981804',",",'9628',",",'SANTANDER',",","'R$ 3.200,00'",),","
7,2,MARCELO,TAVARES,17844711410,09/06/1988,m,(81) 9 9358-7459,MARCELO.TAVARES@resilia.edu.com.br,981814,9728,BANCO DE BRASIL,"R$ 3.200,00",(,7,",",2,",",'MARCELO',",",'TAVARES',",",'17844711410',",",09/06/1988,",",'m',",",'(81) 9 9358-7459',",",'MARCELO.TAVARES@resilia.edu.com.br',",",'981814',",",'9728',",",'BANCO DE BRASIL',",","'R$ 3.200,00'",),","
8,2,WESLEY,GUERRA,19786451223,31/12/1885,f,(55) 9 8161-4785,WESLEY.GUERRA@resilia.edu.com.br,981824,9828,BANCO DO BRASIL,"R$ 3.200,00",(,8,",",2,",",'WESLEY',",",'GUERRA',",",'19786451223',",",31/12/1885,",",'f',",",'(55) 9 8161-4785',",",'WESLEY.GUERRA@resilia.edu.com.br',",",'981824',",",'9828',",",'BANCO DO BRASIL',",","'R$ 3.200,00'",),","
9,2,CAROLINA,BARBOSA,21684351036,17/11/1989,m,(62) 9 9658-7424,CAROLINA.BARBOSA@resilia.edu.com.br,981834,9928,BANCO DE BRASIL,"R$ 3.950,00",(,9,",",2,",",'CAROLINA',",",'BARBOSA',",",'21684351036',",",17/11/1989,",",'m',",",'(62) 9 9658-7424',",",'CAROLINA.BARBOSA@resilia.edu.com.br',",",'981834',",",'9928',",",'BANCO DE BRASIL',",","'R$ 3.950,00'",),","
10,2,PEDRO,RIBEIRO,23750417084,05/07/1988,f,(11) 9 9632-9963,PEDRO.RIBEIRO@resilia.edu.com.br,981844,10028,BANCO DE BRASIL,"R$ 3.950,00",(,10,",",2,",",'PEDRO',",",'RIBEIRO',",",'23750417084',",",05/07/1988,",",'f',",",'(11) 9 9632-9963',",",'PEDRO.RIBEIRO@resilia.edu.com.br',",",'981844',",",'10028',",",'BANCO DE BRASIL',",","'R$ 3.950,00'",),","
11,2,DANIELA,SANTOS,57323990662,18/03/1979,m,(13) 9 8241-8243,DANIELA.SANTOS@resilia.edu.com.br,981854,10128,NUBANK,"R$ 3.950,00",(,11,",",2,",",'DANIELA',",",'SANTOS',",",'57323990662',",",18/03/1979,",",'m',",",'(13) 9 8241-8243',",",'DANIELA.SANTOS@resilia.edu.com.br',",",'981854',",",'10128',",",'NUBANK',",","'R$ 3.950,00'",),","
12,6,JOSÉRAFAEL,PILAN,78945612345,23/06/1988,m,(61) 9 9874-5414,JOSÉRAFAEL.PILAN@resilia.edu.com.br,981864,10228,BANCO DE BRASIL,"R$ 3.950,00",(,12,",",6,",",'JOSÉRAFAEL',",",'PILAN',",",'78945612345',",",23/06/1988,",",'m',",",'(61) 9 9874-5414',",",'JOSÉRAFAEL.PILAN@resilia.edu.com.br',",",'981864',",",'10228',",",'BANCO DE BRASIL',",","'R$ 3.950,00'",),","
13,6,MARISA,SILVA,98765432158,01/12/1880,f,(21) 9 8521-7469,MARISA.SILVA@resilia.edu.com.br,981874,10328,BANCO DE BRASIL,"R$ 3.950,00",(,13,",",6,",",'MARISA',",",'SILVA',",",'98765432158',",",01/12/1880,",",'f',",",'(21) 9 8521-7469',",",'MARISA.SILVA@resilia.edu.com.br',",",'981874',",",'10328',",",'BANCO DE BRASIL',",","'R$ 3.950,00'",),","
14,6,DAYSON,NASCIMENTO,11885251971,03/11/1989,m,(21) 9 8325-4156,DAYSON.NASCIMENTO@resilia.edu.com.br,981884,10428,BANCO DE BRASIL,"R$ 3.950,00",(,14,",",6,",",'DAYSON',",",'NASCIMENTO',",",'11885251971',",",03/11/1989,",",'m',",",'(21) 9 8325-4156',",",'DAYSON.NASCIMENTO@resilia.edu.com.br',",",'981884',",",'10428',",",'BANCO DE BRASIL',",","'R$ 3.950,00'",),","
15,6,INARA,ALMEIDA,13840507174,05/05/1983,f,(95) 9 9916-2574,INARA.ALMEIDA@resilia.edu.com.br,981894,10528,BANCO DE BRASIL,"R$ 3.950,00",(,15,",",6,",",'INARA',",",'ALMEIDA',",",'13840507174',",",05/05/1983,",",'f',",",'(95) 9 9916-2574',",",'INARA.ALMEIDA@resilia.edu.com.br',",",'981894',",",'10528',",",'BANCO DE BRASIL',",","'R$ 3.950,00'",),","
16,6,GABRIEL,IZOTON,58224891597,18/05/1991,m,(83) 9 8741-5869,GABRIEL.IZOTON@resilia.edu.com.br,981904,10628,NUBANK,"R$ 3.950,00",(,16,",",6,",",'GABRIEL',",",'IZOTON',",",'58224891597',",",18/05/1991,",",'m',",",'(83) 9 8741-5869',",",'GABRIEL.IZOTON@resilia.edu.com.br',",",'981904',",",'10628',",",'NUBANK',",","'R$ 3.950,00'",),","
17,6,LÉO,COSTA,17844711410,09/06/1988,m,(81) 9 9358-7459,LÉO.COSTA@resilia.edu.com.br,981914,10728,NUBANK,"R$ 4.103,00",(,17,",",6,",",'LÉO',",",'COSTA',",",'17844711410',",",09/06/1988,",",'m',",",'(81) 9 9358-7459',",",'LÉO.COSTA@resilia.edu.com.br',",",'981914',",",'10728',",",'NUBANK',",","'R$ 4.103,00'",),","
18,6,CINTHIA,GREGÓRIO,19786451223,31/12/1885,f,(55) 9 8161-4785,CINTHIA.GREGÓRIO@resilia.edu.com.br,981924,10828,BANCO DE BRASIL,"R$ 4.103,00",(,18,",",6,",",'CINTHIA',",",'GREGÓRIO',",",'19786451223',",",31/12/1885,",",'f',",",'(55) 9 8161-4785',",",'CINTHIA.GREGÓRIO@resilia.edu.com.br',",",'981924',",",'10828',",",'BANCO DE BRASIL',",","'R$ 4.103,00'",),","
19,6,SAMUEL,MONTEIRO,21684351036,17/11/1989,m,(62) 9 9658-7421,SAMUEL.MONTEIRO@resilia.edu.com.br,981934,10928,NUBANK,"R$ 4.103,00",(,19,",",6,",",'SAMUEL',",",'MONTEIRO',",",'21684351036',",",17/11/1989,",",'m',",",'(62) 9 9658-7421',",",'SAMUEL.MONTEIRO@resilia.edu.com.br',",",'981934',",",'10928',",",'NUBANK',",","'R$ 4.103,00'",),","
20,6,RAFAELA,SOUZA,23750417084,05/07/1988,f,(11) 9 9632-9969,RAFAELA.SOUZA@resilia.edu.com.br,981944,11028,SANTANDER,"R$ 4.103,00",(,20,",",6,",",'RAFAELA',",",'SOUZA',",",'23750417084',",",05/07/1988,",",'f',",",'(11) 9 9632-9969',",",'RAFAELA.SOUZA@resilia.edu.com.br',",",'981944',",",'11028',",",'SANTANDER',",","'R$ 4.103,00'",),","
21,6,JULIANO,RATAN,57323990662,18/03/1979,m,(23) 9 8241-8277,JULIANO.RATAN@resilia.edu.com.br,981954,11128,SANTANDER,"R$ 4.103,00",(,21,",",6,",",'JULIANO',",",'RATAN',",",'57323990662',",",18/03/1979,",",'m',",",'(23) 9 8241-8277',",",'JULIANO.RATAN@resilia.edu.com.br',",",'981954',",",'11128',",",'SANTANDER',",","'R$ 4.103,00'",),","
22,3,DANIEL,EUSTAQUIO,21688691036,01/12/1880,M,(11) 9 8261-8287,DANIEL.EUSTAQUIO@resilia.edu.com.br,981964,11228,C6 BANK,"R$ 4.103,00",(,22,",",3,",",'DANIEL',",",'EUSTAQUIO',",",'21688691036',",",01/12/1880,",",'M',",",'(11) 9 8261-8287',",",'DANIEL.EUSTAQUIO@resilia.edu.com.br',",",'981964',",",'11228',",",'C6 BANK',",","'R$ 4.103,00'",),","
23,3,WILLIAM,SOUZA,19796351223,31/12/1883,M,(62) 9 9887-4218,WILLIAM.SOUZA@resilia.edu.com.br,981974,11328,ITAU,"R$ 4.103,00",(,23,",",3,",",'WILLIAM',",",'SOUZA',",",'19796351223',",",31/12/1883,",",'M',",",'(62) 9 9887-4218',",",'WILLIAM.SOUZA@resilia.edu.com.br',",",'981974',",",'11328',",",'ITAU',",","'R$ 4.103,00'",),","
24,4,CLARICE,MELO,55599633425,14/06/1996,F,(87) 9 8635-4147,CLARICE.MELO@resilia.edu.com.br,587239,9988,ITAU,"R$ 4.103,00",(,24,",",4,",",'CLARICE',",",'MELO',",",'55599633425',",",14/06/1996,",",'F',",",'(87) 9 8635-4147',",",'CLARICE.MELO@resilia.edu.com.br',",",'587239',",",'9988',",",'ITAU',",","'R$ 4.103,00'",),","
25,4,CAMILLE,SAMIL,52418965435,17/11/1989,F,(98) 9 9632-5877,CAMILLE.SAMIL@resilia.edu.com.br,687239,9998,ITAU,"R$ 5.000,00",(,25,",",4,",",'CAMILLE',",",'SAMIL',",",'52418965435',",",17/11/1989,",",'F',",",'(98) 9 9632-5877',",",'CAMILLE.SAMIL@resilia.edu.com.br',",",'687239',",",'9998',",",'ITAU',",","'R$ 5.000,00'",),","
26,5,ALINE,BARROS,45645645696,05/07/1988,F,(25) 9 6857-1478,ALINE.BARROS@resilia.edu.com.br,787239,10008,NEXT,"R$ 5.000,00",(,26,",",5,",",'ALINE',",",'BARROS',",",'45645645696',",",05/07/1988,",",'F',",",'(25) 9 6857-1478',",",'ALINE.BARROS@resilia.edu.com.br',",",'787239',",",'10008',",",'NEXT',",","'R$ 5.000,00'",),","
27,5,TAMIRES,PAMOR,32112363985,18/03/1979,F,(11) 9 8565-1236,TAMIRES.PAMOR@resilia.edu.com.br,887239,10018,NEXT,"R$ 5.000,00",(,27,",",5,",",'TAMIRES',",",'PAMOR',",",'32112363985',",",18/03/1979,",",'F',",",'(11) 9 8565-1236',",",'TAMIRES.PAMOR@resilia.edu.com.br',",",'887239',",",'10018',",",'NEXT',",","'R$ 5.000,00'",),","
28,5,CAROLINNE,FERNANDES,77785962426,23/06/1988,F,(61) 9 9585-7412,CAROLINNE.FERNANDES@resilia.edu.com.br,987239,10028,C6 BANK,"R$ 5.000,00",(,28,",",5,",",'CAROLINNE',",",'FERNANDES',",",'77785962426',",",23/06/1988,",",'F',",",'(61) 9 9585-7412',",",'CAROLINNE.FERNANDES@resilia.edu.com.br',",",'987239',",",'10028',",",'C6 BANK',",","'R$ 5.000,00'",),","
29,7,HUGO,BONAMO,99663322558,01/12/1880,M,(63) 9 8432-1452,HUGO.BONAMO@resilia.edu.com.br,1087239,10038,NUBANK,"R$ 5.000,00",(,29,",",7,",",'HUGO',",",'BONAMO',",",'99663322558',",",01/12/1880,",",'M',",",'(63) 9 8432-1452',",",'HUGO.BONAMO@resilia.edu.com.br',",",'1087239',",",'10038',",",'NUBANK',",","'R$ 5.000,00'",),","
30,7,PAULA,OLIVEIRA,44110000255,03/11/1989,F,(82) 9 8641-7422,PAULA.OLIVEIRA@resilia.edu.com.br,1187239,10048,NUBANK,"R$ 5.000,00",(,30,",",7,",",'PAULA',",",'OLIVEIRA',",",'44110000255',",",03/11/1989,",",'F',",",'(82) 9 8641-7422',",",'PAULA.OLIVEIRA@resilia.edu.com.br',",",'1187239',",",'10048',",",'NUBANK',",","'R$ 5.000,00'",),","
31,7,OTAVIO,EUSTAQUIO,88776633225,17/11/1989,M,(95) 9 8965-4123,OTAVIO.EUSTAQUIO@resilia.edu.com.br,1287239,10058,BANCO DO BRASIL,"R$ 2.202,69",(,31,",",7,",",'OTAVIO',",",'EUSTAQUIO',",",'88776633225',",",17/11/1989,",",'M',",",'(95) 9 8965-4123',",",'OTAVIO.EUSTAQUIO@resilia.edu.com.br',",",'1287239',",",'10058',",",'BANCO DO BRASIL',",","'R$ 2.202,69'",),","
32,8,LUCAS,AMORIM,55489625236,05/07/1988,M,(63) 9 7412-2365,LUCAS.AMORIM@resilia.edu.com.br,1387239,10068,SANTANDER,"R$ 2.202,69",(,32,",",8,",",'LUCAS',",",'AMORIM',",",'55489625236',",",05/07/1988,",",'M',",",'(63) 9 7412-2365',",",'LUCAS.AMORIM@resilia.edu.com.br',",",'1387239',",",'10068',",",'SANTANDER',",","'R$ 2.202,69'",),","
33,8,MARINA,LINHARES,85574596352,18/03/1979,F,(96) 9 7455-8896,MARINA.LINHARES@resilia.edu.com.br,1487239,10078,SANTANDER,"R$ 2.202,69",(,33,",",8,",",'MARINA',",",'LINHARES',",",'85574596352',",",18/03/1979,",",'F',",",'(96) 9 7455-8896',",",'MARINA.LINHARES@resilia.edu.com.br',",",'1487239',",",'10078',",",'SANTANDER',",","'R$ 2.202,69'",),","
34,8,HELLEN,FERNANDES,99663322558,23/06/1988,F,(66) 9 8745-1255,HELLEN.FERNANDES@resilia.edu.com.br,1587239,10088,ITAU,"R$ 2.202,69",(,34,",",8,",",'HELLEN',",",'FERNANDES',",",'99663322558',",",23/06/1988,",",'F',",",'(66) 9 8745-1255',",",'HELLEN.FERNANDES@resilia.edu.com.br',",",'1587239',",",'10088',",",'ITAU',",","'R$ 2.202,69'",),","
35,9,HELEN,ROMAO,114452236988,01/12/1880,F,(31) 9 8745-4152,HELEN.ROMAO@resilia.edu.com.br,1687239,10098,ITAU,"R$ 2.202,69",(,35,",",9,",",'HELEN',",",'ROMAO',",",'114452236988',",",01/12/1880,",",'F',",",'(31) 9 8745-4152',",",'HELEN.ROMAO@resilia.edu.com.br',",",'1687239',",",'10098',",",'ITAU',",","'R$ 2.202,69'",),","
36,9,SAMUEL,ANTONY,54654651233,03/11/1989,M,(92) 9 8574-2536,SAMUEL.ANTONY@resilia.edu.com.br,1787239,10108,BANCO DO BRASIL,"R$ 2.202,69",(,36,",",9,",",'SAMUEL',",",'ANTONY',",",'54654651233',",",03/11/1989,",",'M',",",'(92) 9 8574-2536',",",'SAMUEL.ANTONY@resilia.edu.com.br',",",'1787239',",",'10108',",",'BANCO DO BRASIL',",","'R$ 2.202,69'",),","
